Departemen Desain Interior 15 (Decimal('2020'), 25, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 0.6825, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 16 (Decimal('2020'), 26, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 0.3006, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 17 (Decimal('2020'), 27, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0159, 3.8387, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 18 (Decimal('2020'), 28, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0159, 0.1129, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 19 (Decimal('2020'), 29, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 0.4516, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 20 (Decimal('2020'), 32, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 0.0145, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 21 (Decimal('2020'), 33, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0279, 0.0107, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 22 (Decimal('2020'), 34, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 0.9032, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 23 (Decimal('2020'), 35, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 3.3871, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 24 (Decimal('2020'), 36, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 0.1129, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 25 (Decimal('2020'), 38, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 0.0402, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 26 (Decimal('2020'), 40, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 0.2258, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 27 (Decimal('2020'), 41, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 0.0, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 28 (Decimal('2020'), 43, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 0.0263, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 29 (Decimal('2020'), 44, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0279, 2.2581, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 30 (Decimal('2020'), 53, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0279, 0.105, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 31 (Decimal('2020'), 56, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 0.8065, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 32 (Decimal('2020'), 57, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 1.05, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 33 (Decimal('2020'), 58, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 0.1575, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
